# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"year
1990","percipitation
627.754","min_temp
24.564","cloud_cover
43.372","vapour_pressure
20.486","area
2179","production
894"
"1991","938.757","24.754","43.33","20.757","2004","1154"
"1992","945.808","24.691","43.33","20.457","2303","2053"
"1993","859.153","24.667","43.33","20.5","2376","1275"
"1994","761.036","24.499","43.33","20.462","2611","2382"
"1995","872.581","25.051","43.33","20.81","3452","2037"
"1996","946.427","24.892","42.633","20.749","2560","3864"
"1997","932.481","25.033","41.599","20.649","2854","2230"
"1998","1067.351","25.306","42.091","21.118","2645","2068"
"1999","840.96","24.716","41.803","20.463","2103","2506"
"2000","930.422","24.7","41.656","20.541","2930","3261"
"2001","666.366","25.044","44.095","20.788","2645","1926"
"2002","674.17","25.214","41.364","20.82","3026","3325"
1990","percipitation
914.765","min_temp
24.857","cloud_cover
42.628","vapour_pressure
21.721","area
2392","production
1151"
"1991","1464.117","25.031","42.583","21.946","3075","2080"
"1992","1619.961","24.98","42.583","21.687","3197","2878"
"1993","1372.297","24.929","42.583","21.735","2907","1788"
"1994","1363.355","24.774","42.583","21.684","2911","2062"
"1995","1242.351","25.31","42.583","22.003","2797","1565"
"1996","1462.926","25.213","41.838","22.017","2200","1822"
"1997","1417.644","25.316","40.621","21.83","2461","1874"
"1998","1658.671","25.526","41.442","22.356","2350","1786"
"1999","1278.477","25.008","41.983","21.681","2863","1654"
"2000","1406.391","24.992","41.182","21.704","2156","1945"
"2001","960.033","25.29","43.18","21.951","2361","1926"
"2002","1060.343","25.509","40.929","22.042","2459","1865"
1990","percipitation
1679.358","min_temp
25.848","cloud_cover
45.494","vapour_pressure
24.441","area
2019","production
3254"
"1991","2485.867","25.984","45.483","24.596","1962","2423"
"1992","2872.205","25.871","45.483","24.373","2089","3800"
"1993","2293.874","25.918","45.483","24.44","2138","3630"
"1994","2583.243","25.829","45.483","24.4","1753","3534"
"1995","2074.373","26.172","45.483","24.69","1769","3090"
"1996","2610.518","26.134","45.863","24.677","1789","4679"
"1997","2662.193","26.335","44.194","24.572","1745","3786"
"1998","2931.677","26.487","45.384","24.898","1685","3651"
"1999","2127.181","25.981","45.684","24.327","1742","3896"
"2000","2244.44","25.898","45.29","24.391","1865","4025"
"2001","1899.461","26.243","47.145","24.616","1798","3852"
"2002","1923.742","26.459","44.842","24.717","1650","2958"
